STATION,STATION_NAME,DATE,PRCP,SNOW
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160310,1.34,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160311,0.57,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160312,1.05,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160313,0.74,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160314,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160315,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160316,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160317,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160318,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160319,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160320,0.14,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160321,0.33,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160322,0.07,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160323,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160324,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160325,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160326,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160327,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160328,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160329,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160330,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160331,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160401,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160402,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160403,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160404,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160405,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160406,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160407,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160408,0.11,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160409,0.40,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160410,0.05,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160411,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160412,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160413,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160414,0.13,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160415,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160416,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160417,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160418,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160419,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160420,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160421,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160422,0.58,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160423,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160424,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160425,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160426,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160427,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160428,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160429,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160430,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160501,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160502,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160503,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160504,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160505,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160506,0.08,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160507,0.07,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160508,0.01,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160509,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160510,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160511,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160512,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160513,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160514,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160515,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160516,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160517,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160518,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160519,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160520,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160521,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160522,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160523,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160601,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160602,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160603,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160604,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160605,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160606,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160607,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160608,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160609,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160610,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160611,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160612,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160613,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160614,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160615,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160616,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160617,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160618,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160619,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160620,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160621,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160622,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160623,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160624,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160625,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160626,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160627,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160628,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160629,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160630,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160701,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160702,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160703,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160704,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160705,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160706,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160707,0.00,-9999
